No.,Time,Source,Destination,Protocol,Length,Info
8997,101.689784,192.168.178.52,192.168.178.59,RTP,1118,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29338, Time=2752137574, Mark"
8998,101.689812,192.168.178.52,192.168.178.59,RTP,165,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29295, Time=3842124719"
8999,101.697273,192.168.178.52,192.168.178.59,RTP,1131,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29339, Time=2752143334"
9000,101.699634,192.168.178.52,192.168.178.59,RTP,1131,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29340, Time=2752143334"
9002,101.706264,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29341, Time=2752143334"
9003,101.707628,192.168.178.52,192.168.178.59,RTP,158,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29296, Time=3842125679"
9009,101.713716,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29342, Time=2752143334"
9016,101.721147,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29343, Time=2752143334"
9021,101.727926,192.168.178.52,192.168.178.59,RTP,182,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29297, Time=3842126639"
9025,101.732285,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29344, Time=2752143334"
9026,101.735741,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29345, Time=2752143334, Mark"
9028,101.749699,192.168.178.52,192.168.178.59,RTP,165,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29298, Time=3842127599"
9030,101.759437,192.168.178.52,192.168.178.59,RTP,1166,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29346, Time=2752149094"
9031,101.759462,192.168.178.52,192.168.178.59,RTP,1167,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29347, Time=2752149094"
9035,101.76772,192.168.178.52,192.168.178.59,RTP,1167,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29348, Time=2752149094"
9036,101.767759,192.168.178.52,192.168.178.59,RTP,158,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29299, Time=3842128559"
