No.,Time,Source,Destination,Protocol,Length,Info
31917,64.652358,192.168.178.52,192.168.178.59,RTP,1100,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30607, Time=2752859014"
31923,64.656244,192.168.178.52,192.168.178.59,RTP,1100,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30608, Time=2752859014"
31929,64.66036,192.168.178.52,192.168.178.59,RTP,1100,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30609, Time=2752859014"
31933,64.664491,192.168.178.52,192.168.178.59,RTP,160,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29694, Time=3842507759"
31935,64.666593,192.168.178.52,192.168.178.59,RTP,1100,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30610, Time=2752859014"
31937,64.669328,192.168.178.52,192.168.178.59,RTP,1101,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30611, Time=2752859014"
31938,64.673387,192.168.178.52,192.168.178.59,RTP,1101,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30612, Time=2752859014"
31939,64.67699,192.168.178.52,192.168.178.59,RTP,1101,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30613, Time=2752859014"
31940,64.680856,192.168.178.52,192.168.178.59,RTP,1101,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30614, Time=2752859014"
31941,64.684857,192.168.178.52,192.168.178.59,RTP,1101,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30615, Time=2752859014"
31942,64.685144,192.168.178.52,192.168.178.59,RTP,158,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29695, Time=3842508719"
31943,64.688629,192.168.178.52,192.168.178.59,RTP,1101,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30616, Time=2752859014"
31946,64.692782,192.168.178.52,192.168.178.59,RTP,1101,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30617, Time=2752859014"
31947,64.696012,192.168.178.52,192.168.178.59,RTP,1101,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30618, Time=2752859014, Mark"
31949,64.704826,192.168.178.52,192.168.178.59,RTP,154,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29696, Time=3842509679"
31957,64.724612,192.168.178.52,192.168.178.59,RTP,160,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29697, Time=3842510639"
31958,64.725537,192.168.178.52,192.168.178.59,RTP,1125,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30619, Time=2752866214"
31968,64.729836,192.168.178.52,192.168.178.59,RTP,1125,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30620, Time=2752866214"
31974,64.734748,192.168.178.52,192.168.178.59,RTP,1125,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30621, Time=2752866214"
31977,64.737936,192.168.178.52,192.168.178.59,RTP,1125,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30622, Time=2752866214"
31979,64.742048,192.168.178.52,192.168.178.59,RTP,1125,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30623, Time=2752866214"
31982,64.74599,192.168.178.52,192.168.178.59,RTP,159,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29698, Time=3842511599"
31983,64.74611,192.168.178.52,192.168.178.59,RTP,1125,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30624, Time=2752866214"
31984,64.750373,192.168.178.52,192.168.178.59,RTP,1125,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30625, Time=2752866214"
31985,64.754212,192.168.178.52,192.168.178.59,RTP,1126,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30626, Time=2752866214"
31986,64.757501,192.168.178.52,192.168.178.59,RTP,1126,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=30627, Time=2752866214"
